Date,Product Category,Product Name,Region,Sales Rep,Quantity,Unit Price,Discount,Revenue,Cost,Profit,Customer ID,Order ID
2023-10-15,Electronics,Camera,West,Bob Smith,20,690.3,0.19,11114.98,6035.15,5079.84,CUST9172,ORD22467
2023-12-05,Clothing,Jeans,East,Eve Wilson,18,777.66,0.12,12380.42,6593.8,5786.62,CUST1839,ORD53018
2023-08-13,Books,Non-Fiction,Central,Carol Davis,2,739.26,0.21,1163.53,520.46,643.08,CUST1949,ORD39930
2024-04-04,Clothing,Jeans,West,Eve Wilson,9,856.88,0.11,6866.12,4764.68,2101.44,CUST6736,ORD30617
2024-06-21,Clothing,Jeans,West,Carol Davis,18,41.2,0.02,726.36,365.37,360.99,CUST3265,ORD19910
2024-08-06,Sports,Football,West,Carol Davis,11,909.13,0.11,8864.78,3650.62,5214.16,CUST7724,ORD83502
2024-09-10,Books,Fiction,Central,Bob Smith,3,888.15,0.28,1924.1,1189.92,734.17,CUST8491,ORD62374
2023-02-12,Sports,Basketball,West,Alice Johnson,11,715.33,0.24,5963.27,3543.41,2419.86,CUST2206,ORD20461
2023-11-08,Books,History,North,David Brown,12,286.68,0.11,3068.44,1812.53,1255.91,CUST4458,ORD86442
2023-02-01,Sports,Golf,East,Carol Davis,6,477.49,0.09,2617.98,1509.69,1108.29,CUST9711,ORD88623
2024-01-05,Books,Non-Fiction,South,Eve Wilson,20,113.19,0.05,2161.89,1468.68,693.21,CUST1479,ORD30787
2024-08-14,Clothing,T-Shirt,East,David Brown,8,710.0,0.04,5475.1,2889.12,2585.97,CUST3791,ORD79103
2024-03-04,Clothing,Hat,Central,Eve Wilson,2,822.89,0.17,1359.49,563.24,796.25,CUST4877,ORD42086
2024-02-24,Sports,Soccer,Central,Carol Davis,6,647.0,0.28,2804.31,1749.13,1055.18,CUST4102,ORD28702
2024-04-24,Home,Appliances,West,Carol Davis,4,516.14,0.13,1791.69,995.28,796.41,CUST9682,ORD26893
2024-05-27,Books,Biography,West,Bob Smith,13,397.83,0.23,3979.43,2040.22,1939.21,CUST1571,ORD25401
2023-02-09,Home,Appliances,West,Alice Johnson,9,342.79,0.14,2643.85,1092.18,1551.67,CUST5402,ORD10729
2023-07-30,Electronics,Phone,West,Carol Davis,16,979.44,0.23,12108.9,5686.58,6422.32,CUST9275,ORD43136
2024-03-21,Electronics,Headphones,West,Bob Smith,11,155.44,0.15,1450.63,812.52,638.11,CUST7450,ORD72000
2024-01-09,Sports,Tennis,South,Carol Davis,13,374.81,0.03,4737.9,2961.99,1775.91,CUST5103,ORD20281
2023-04-12,Clothing,Jeans,South,Alice Johnson,7,223.98,0.07,1463.34,762.55,700.79,CUST2084,ORD10864
2023-11-27,Clothing,Hat,West,Bob Smith,18,594.21,0.13,9331.94,4825.86,4506.08,CUST8124,ORD61059
2024-07-03,Books,Non-Fiction,West,Eve Wilson,4,83.23,0.17,277.01,145.77,131.24,CUST2432,ORD68442
2024-03-25,Electronics,Camera,North,Eve Wilson,11,323.81,0.2,2861.1,1789.61,1071.48,CUST9448,ORD62239
2023-07-24,Sports,Basketball,South,Bob Smith,20,218.87,0.29,3128.82,1402.04,1726.78,CUST3351,ORD81432
2023-05-02,Books,Science,East,Carol Davis,5,453.81,0.23,1741.28,1020.33,720.94,CUST7993,ORD19370
2024-12-26,Electronics,Tablet,Central,Bob Smith,8,853.2,0.18,5603.19,3733.15,1870.04,CUST2937,ORD87076
2024-08-21,Electronics,Tablet,South,Carol Davis,16,239.27,0.18,3121.33,1767.85,1353.49,CUST9481,ORD98657
2023-07-06,Electronics,Headphones,North,Bob Smith,9,749.14,0.03,6510.76,4082.32,2428.45,CUST1162,ORD49703
2024-07-18,Clothing,Hat,Central,David Brown,14,928.03,0.06,12254.54,5457.43,6797.11,CUST2920,ORD88952
2023-01-25,Electronics,Laptop,Central,Eve Wilson,14,572.91,0.09,7325.39,2941.31,4384.08,CUST3358,ORD79214
2023-11-29,Clothing,Jeans,North,Eve Wilson,20,503.67,0.2,8074.06,3591.59,4482.48,CUST9103,ORD65984
2024-04-13,Electronics,Tablet,East,Bob Smith,15,561.82,0.0,8410.77,5489.1,2921.67,CUST8344,ORD68798
2024-01-21,Electronics,Phone,West,Eve Wilson,1,691.78,0.21,548.78,247.83,300.95,CUST8010,ORD63345
2023-05-25,Sports,Basketball,East,Alice Johnson,17,369.96,0.08,5813.57,3402.49,2411.08,CUST9077,ORD52981
2024-09-03,Electronics,Phone,East,David Brown,15,235.27,0.09,3226.28,2152.13,1074.15,CUST8432,ORD84535
2024-10-12,Sports,Soccer,East,Carol Davis,3,317.62,0.04,917.26,479.95,437.32,CUST6924,ORD80546
2023-09-11,Home,Garden,East,Carol Davis,2,163.74,0.24,249.6,128.61,120.98,CUST1279,ORD81179
2023-10-03,Books,Science,Central,Eve Wilson,12,623.44,0.2,6020.51,2640.1,3380.41,CUST1966,ORD77565
2024-10-03,Sports,Soccer,South,Eve Wilson,13,274.24,0.27,2618.29,1633.59,984.7,CUST6601,ORD29438
2024-01-31,Books,Fiction,South,Eve Wilson,9,361.33,0.0,3237.18,1700.59,1536.6,CUST9432,ORD26030
2024-10-08,Home,Furniture,South,Eve Wilson,20,821.85,0.22,12782.95,7222.95,5560.0,CUST7441,ORD67794
2024-08-05,Electronics,Tablet,North,Bob Smith,16,33.44,0.14,462.1,205.62,256.49,CUST4411,ORD28156
2023-06-01,Books,Fiction,Central,Eve Wilson,2,72.69,0.14,125.68,74.71,50.97,CUST4274,ORD43062
2023-06-21,Clothing,Jacket,North,Alice Johnson,10,481.85,0.13,4190.06,2644.14,1545.92,CUST8658,ORD29995
2024-07-05,Books,Non-Fiction,Central,David Brown,17,322.87,0.11,4885.32,2240.31,2645.01,CUST7688,ORD34758
2023-02-26,Clothing,Jeans,North,David Brown,14,159.62,0.3,1572.1,902.69,669.41,CUST7649,ORD71285
2023-11-17,Clothing,Hat,West,Alice Johnson,16,288.13,0.09,4177.13,2403.64,1773.49,CUST5683,ORD79834
2023-07-17,Books,Biography,North,Carol Davis,16,235.26,0.12,3305.2,1540.07,1765.13,CUST3083,ORD41723
2023-08-03,Books,Science,East,Bob Smith,5,299.02,0.03,1457.4,929.24,528.16,CUST2553,ORD43072
2023-03-26,Books,Non-Fiction,West,David Brown,6,686.6,0.15,3492.46,1790.76,1701.7,CUST2356,ORD39631
2024-03-30,Clothing,Hat,North,Eve Wilson,19,499.34,0.29,6770.48,3164.86,3605.61,CUST2988,ORD12888
2023-12-11,Sports,Football,East,Alice Johnson,12,701.8,0.08,7736.33,4487.82,3248.51,CUST8968,ORD31484
2024-03-31,Sports,Basketball,West,Alice Johnson,1,786.89,0.17,654.57,372.0,282.57,CUST9122,ORD77166
2024-02-03,Sports,Basketball,West,David Brown,5,526.18,0.11,2340.01,1616.5,723.51,CUST4205,ORD59815
2024-08-03,Sports,Basketball,East,David Brown,7,701.62,0.16,4144.91,2362.85,1782.07,CUST1832,ORD84199
2024-07-02,Clothing,Shoes,Central,Carol Davis,6,217.41,0.28,940.52,466.21,474.31,CUST2752,ORD49183
2024-08-10,Home,Kitchen,West,Carol Davis,6,29.71,0.13,155.59,102.18,53.41,CUST8513,ORD35503
2023-11-06,Clothing,Jeans,South,Bob Smith,6,968.11,0.03,5615.23,3437.2,2178.03,CUST3257,ORD36782
2023-02-14,Sports,Football,West,Eve Wilson,15,725.85,0.13,9440.68,4994.83,4445.85,CUST3690,ORD95134
2024-05-07,Books,Fiction,East,Carol Davis,2,264.83,0.03,514.88,313.62,201.26,CUST5076,ORD79295
2023-04-23,Books,History,West,Alice Johnson,4,443.36,0.23,1365.37,620.96,744.41,CUST8975,ORD54643
2023-02-14,Books,Fiction,East,David Brown,11,705.42,0.12,6863.39,4752.53,2110.86,CUST5283,ORD25917
2023-12-19,Books,Biography,South,Eve Wilson,20,614.54,0.13,10704.33,6380.03,4324.3,CUST4697,ORD27367
2024-01-01,Home,Furniture,North,Bob Smith,19,757.4,0.02,14038.95,6361.79,7677.16,CUST7598,ORD83358
2024-12-02,Sports,Basketball,East,Carol Davis,10,360.85,0.14,3118.71,1473.69,1645.02,CUST8690,ORD75620
2024-02-02,Sports,Football,Central,Carol Davis,10,290.6,0.23,2248.49,1048.56,1199.93,CUST2412,ORD79049
2023-01-16,Sports,Football,South,Carol Davis,7,179.59,0.2,1006.87,478.93,527.94,CUST1245,ORD57602
2023-03-03,Electronics,Laptop,Central,David Brown,4,751.02,0.06,2829.39,1961.42,867.98,CUST6564,ORD93995
2023-07-29,Clothing,Jacket,South,Carol Davis,15,377.06,0.04,5443.74,2902.76,2540.98,CUST2228,ORD40576
2023-12-07,Books,History,West,Eve Wilson,2,135.07,0.22,212.03,97.16,114.87,CUST5061,ORD88517
2023-02-04,Sports,Basketball,East,Alice Johnson,20,908.01,0.28,13119.07,8476.14,4642.94,CUST8411,ORD25456
2023-09-06,Sports,Tennis,Central,Eve Wilson,11,803.98,0.12,7786.38,4012.39,3773.99,CUST8568,ORD25436
2024-05-13,Books,Non-Fiction,East,Alice Johnson,10,656.79,0.01,6474.99,3230.19,3244.81,CUST3482,ORD40518
2023-04-08,Sports,Golf,North,Alice Johnson,1,422.87,0.14,363.74,218.5,145.24,CUST6687,ORD75440
2024-01-11,Electronics,Tablet,Central,Carol Davis,17,96.04,0.01,1623.96,729.5,894.46,CUST6862,ORD25007
2023-02-01,Sports,Football,South,Alice Johnson,9,581.28,0.05,4950.62,2649.62,2300.99,CUST3726,ORD69977
2023-05-29,Sports,Basketball,Central,Bob Smith,16,416.35,0.05,6318.69,3973.52,2345.17,CUST3138,ORD68592
2024-04-08,Electronics,Headphones,Central,Bob Smith,2,476.5,0.21,754.53,426.85,327.68,CUST3125,ORD30538
2024-11-17,Books,Fiction,West,David Brown,11,704.82,0.07,7202.76,4754.7,2448.06,CUST8372,ORD78065
2024-12-18,Sports,Football,East,Alice Johnson,1,295.27,0.14,252.52,107.45,145.07,CUST9824,ORD59873
2023-12-30,Clothing,Jacket,West,Carol Davis,4,464.99,0.1,1676.86,1100.54,576.33,CUST5661,ORD63315
2024-03-13,Sports,Basketball,East,Alice Johnson,2,420.55,0.1,758.95,380.82,378.13,CUST6772,ORD89634
2023-12-15,Sports,Basketball,West,David Brown,7,582.62,0.17,3391.73,1786.34,1605.39,CUST9098,ORD81223
2023-08-31,Home,Appliances,Central,Carol Davis,18,425.4,0.01,7599.04,3315.26,4283.78,CUST7356,ORD99508
2024-02-25,Books,Non-Fiction,East,Eve Wilson,18,700.53,0.09,11534.65,5937.25,5597.4,CUST7266,ORD43367
2023-08-17,Electronics,Tablet,North,Carol Davis,9,791.84,0.03,6919.44,3789.12,3130.32,CUST7204,ORD37211
2023-11-22,Electronics,Headphones,South,Carol Davis,19,831.94,0.17,13085.12,8448.12,4637.0,CUST1076,ORD24305
2023-04-01,Clothing,Hat,North,Alice Johnson,20,505.34,0.08,9332.92,3928.29,5404.62,CUST3142,ORD59448
2023-07-04,Home,Kitchen,North,David Brown,7,72.95,0.15,431.93,261.07,170.86,CUST1941,ORD20055
2023-01-16,Clothing,T-Shirt,North,Carol Davis,2,311.12,0.25,466.32,237.64,228.68,CUST1117,ORD65591
2024-10-18,Books,Biography,South,Bob Smith,18,322.73,0.21,4563.99,2148.97,2415.02,CUST6647,ORD84132
2024-10-28,Books,History,West,David Brown,20,572.56,0.26,8432.2,3963.07,4469.13,CUST2022,ORD21843
2024-05-05,Electronics,Tablet,East,Eve Wilson,16,533.33,0.16,7205.24,3819.38,3385.87,CUST2521,ORD54404
2023-12-16,Electronics,Camera,North,Bob Smith,4,228.81,0.01,902.21,480.26,421.95,CUST1683,ORD57824
2024-04-16,Clothing,Hat,North,Bob Smith,12,471.51,0.11,5013.89,2450.52,2563.37,CUST6567,ORD48444
2024-07-07,Electronics,Headphones,North,Alice Johnson,19,473.77,0.1,8073.32,5206.42,2866.9,CUST4199,ORD28759
2023-06-22,Sports,Basketball,North,Alice Johnson,20,356.39,0.1,6418.65,3315.15,3103.5,CUST1224,ORD30803
2023-01-17,Clothing,Jeans,South,Eve Wilson,9,195.33,0.27,1275.5,883.15,392.35,CUST7433,ORD94337
2024-08-23,Home,Furniture,East,Eve Wilson,17,786.32,0.06,12571.2,6512.23,6058.97,CUST3450,ORD45804
2023-12-15,Home,Garden,North,Bob Smith,16,14.6,0.18,192.64,102.64,90.0,CUST7516,ORD38924
2023-02-16,Books,Biography,East,David Brown,6,122.67,0.22,576.79,368.04,208.75,CUST4311,ORD76685
2024-09-13,Sports,Basketball,Central,Carol Davis,12,502.44,0.1,5401.26,3128.17,2273.09,CUST6099,ORD26870
2023-08-04,Electronics,Laptop,South,Alice Johnson,3,535.41,0.01,1588.49,797.71,790.78,CUST5800,ORD31932
2023-03-10,Clothing,Jacket,South,David Brown,7,267.2,0.08,1728.78,1035.11,693.67,CUST6022,ORD87986
2023-03-27,Books,Biography,Central,Carol Davis,4,591.61,0.02,2308.68,1586.77,721.9,CUST9373,ORD20320
2024-03-01,Clothing,Shoes,West,Alice Johnson,19,742.32,0.14,12098.04,7024.93,5073.11,CUST9403,ORD38825
2023-05-01,Electronics,Tablet,East,David Brown,13,99.94,0.12,1137.17,593.66,543.51,CUST9663,ORD73987
2023-03-11,Electronics,Headphones,West,David Brown,14,353.86,0.08,4543.84,3022.45,1521.4,CUST6404,ORD87950
2023-01-27,Sports,Golf,East,Alice Johnson,3,604.64,0.11,1618.47,955.28,663.19,CUST7384,ORD66820
2023-01-29,Electronics,Tablet,North,Alice Johnson,4,295.64,0.02,1164.2,575.22,588.98,CUST9536,ORD81453
2023-01-20,Home,Kitchen,West,David Brown,14,66.38,0.13,804.57,517.7,286.88,CUST2257,ORD10143
2023-03-17,Clothing,T-Shirt,Central,Bob Smith,15,56.13,0.26,619.93,250.99,368.94,CUST5832,ORD47837
2024-08-12,Clothing,T-Shirt,South,Eve Wilson,4,936.03,0.05,3574.6,2304.47,1270.13,CUST3424,ORD99535
2024-10-25,Sports,Tennis,East,David Brown,7,963.35,0.14,5773.35,3677.09,2096.27,CUST4624,ORD89191
2023-02-26,Sports,Soccer,Central,Carol Davis,12,505.95,0.24,4587.67,3072.84,1514.83,CUST3939,ORD32216
2024-05-28,Books,Non-Fiction,South,Alice Johnson,12,55.09,0.11,589.14,320.67,268.47,CUST5424,ORD49734
2023-08-03,Home,Kitchen,South,Bob Smith,8,835.49,0.21,5294.05,2165.03,3129.02,CUST2075,ORD69178
2023-04-06,Home,Appliances,South,Carol Davis,8,165.75,0.17,1097.46,761.7,335.75,CUST5949,ORD72295
2024-01-19,Sports,Tennis,North,Eve Wilson,13,977.87,0.29,9084.13,3889.04,5195.09,CUST9390,ORD74266
2024-06-21,Electronics,Camera,Central,David Brown,19,537.45,0.2,8123.5,4064.6,4058.9,CUST3117,ORD86154
2024-04-18,Electronics,Laptop,South,Bob Smith,6,747.48,0.26,3336.28,2082.17,1254.11,CUST3577,ORD95887
2023-04-18,Home,Appliances,Central,Eve Wilson,1,122.91,0.1,110.86,48.24,62.63,CUST2228,ORD58434
2023-02-08,Books,Fiction,East,Carol Davis,4,857.33,0.07,3192.45,1282.28,1910.17,CUST5059,ORD18156
2024-07-23,Clothing,Jeans,North,Eve Wilson,11,671.32,0.14,6353.5,2962.82,3390.67,CUST3267,ORD44503
2023-04-24,Sports,Basketball,North,Alice Johnson,15,795.49,0.25,8911.85,5946.78,2965.06,CUST6434,ORD94503
2023-02-24,Electronics,Tablet,West,Bob Smith,19,630.28,0.28,8577.0,5985.49,2591.51,CUST5281,ORD93747
2024-04-19,Sports,Golf,North,Alice Johnson,3,759.96,0.23,1760.58,905.4,855.18,CUST5533,ORD35540
2024-11-30,Home,Garden,North,David Brown,13,439.41,0.0,5697.83,2589.04,3108.79,CUST8548,ORD59234
2023-03-29,Sports,Soccer,North,Eve Wilson,5,325.72,0.15,1377.27,580.73,796.54,CUST6413,ORD44661
2024-08-09,Electronics,Headphones,North,Alice Johnson,4,925.79,0.29,2629.03,1479.72,1149.31,CUST7518,ORD86996
2024-04-19,Sports,Soccer,Central,David Brown,15,696.75,0.29,7389.56,3585.56,3804.0,CUST8570,ORD36264
2023-12-02,Clothing,Shoes,Central,Carol Davis,10,947.4,0.14,8158.41,4318.37,3840.04,CUST8782,ORD64729
2023-03-29,Home,Decor,North,David Brown,13,885.19,0.05,10982.58,6529.51,4453.07,CUST7328,ORD20758
2023-09-30,Electronics,Headphones,East,David Brown,16,628.14,0.12,8824.91,5524.07,3300.84,CUST3426,ORD60034
2023-07-10,Sports,Golf,Central,Bob Smith,1,585.48,0.1,527.21,255.5,271.72,CUST1518,ORD75839
2024-03-11,Books,Biography,North,David Brown,14,185.46,0.11,2315.89,1427.6,888.29,CUST6050,ORD92664
2024-11-22,Home,Decor,East,Bob Smith,15,72.33,0.07,1004.93,532.14,472.79,CUST9581,ORD81905
2023-11-30,Sports,Tennis,West,Eve Wilson,8,651.31,0.05,4926.06,2863.03,2063.03,CUST7496,ORD42286
2023-12-24,Clothing,T-Shirt,South,Alice Johnson,4,197.04,0.22,617.03,279.23,337.8,CUST5204,ORD78871
2023-11-25,Home,Furniture,North,David Brown,18,139.16,0.17,2086.68,1026.71,1059.97,CUST6481,ORD19353
2023-12-12,Electronics,Camera,West,Alice Johnson,10,680.03,0.04,6522.5,3782.45,2740.05,CUST5965,ORD21424
2024-09-14,Books,Non-Fiction,South,Alice Johnson,17,569.84,0.17,8076.5,4980.54,3095.96,CUST8999,ORD25921
2024-04-22,Electronics,Headphones,South,Bob Smith,1,65.88,0.18,54.07,26.54,27.53,CUST3495,ORD40170
2024-06-23,Electronics,Tablet,North,Carol Davis,17,410.79,0.15,5931.44,4112.21,1819.23,CUST1350,ORD75251
2024-03-29,Books,Non-Fiction,South,David Brown,15,109.12,0.11,1455.3,769.56,685.74,CUST6697,ORD77453
2024-02-16,Home,Kitchen,East,Alice Johnson,2,613.14,0.08,1124.21,659.37,464.84,CUST3074,ORD47004
2023-10-13,Books,Fiction,South,Bob Smith,16,591.55,0.21,7482.28,3822.92,3659.36,CUST1944,ORD88796
2024-01-25,Books,History,Central,Alice Johnson,10,221.69,0.11,1980.35,1165.58,814.77,CUST9494,ORD15311
2023-11-29,Sports,Golf,North,Carol Davis,16,858.7,0.06,12858.42,6364.86,6493.57,CUST8205,ORD74186
2023-04-22,Home,Decor,Central,Alice Johnson,3,569.79,0.25,1279.63,862.08,417.56,CUST3131,ORD95602
2024-02-27,Home,Appliances,Central,Alice Johnson,3,310.4,0.15,787.75,478.06,309.69,CUST8986,ORD42242
2024-08-04,Electronics,Tablet,South,Alice Johnson,11,22.83,0.09,228.7,136.8,91.9,CUST8665,ORD75102
2024-07-07,Clothing,Jeans,West,David Brown,5,333.31,0.17,1381.13,927.69,453.44,CUST5301,ORD22718
2023-03-10,Home,Garden,West,Alice Johnson,11,101.09,0.26,825.75,529.97,295.79,CUST5910,ORD37520
2023-04-11,Clothing,Shoes,East,David Brown,2,680.24,0.01,1352.46,863.04,489.43,CUST1925,ORD10251
2024-02-27,Sports,Soccer,South,Carol Davis,10,502.01,0.3,3522.36,2329.19,1193.17,CUST2884,ORD43050
2024-03-14,Sports,Golf,North,Alice Johnson,19,208.73,0.07,3675.82,1934.55,1741.27,CUST1577,ORD61023
2023-07-16,Electronics,Camera,South,David Brown,19,907.15,0.17,14232.01,6850.48,7381.53,CUST6991,ORD90218
2024-08-06,Home,Garden,North,David Brown,15,453.8,0.23,5226.98,2166.53,3060.45,CUST5201,ORD31158
2023-05-04,Sports,Basketball,West,Bob Smith,9,55.17,0.02,487.87,246.72,241.15,CUST7339,ORD69278
2024-02-14,Electronics,Laptop,West,Eve Wilson,8,944.07,0.11,6687.22,4590.68,2096.53,CUST7400,ORD36090
2024-09-07,Clothing,T-Shirt,West,Eve Wilson,15,863.4,0.13,11274.62,4537.06,6737.56,CUST7176,ORD50768
2024-05-19,Sports,Soccer,East,Alice Johnson,2,100.22,0.22,155.49,78.05,77.45,CUST5236,ORD26016
2023-03-28,Home,Garden,North,Carol Davis,15,514.21,0.03,7461.07,4375.37,3085.7,CUST7135,ORD79478
2024-11-23,Sports,Golf,Central,David Brown,6,962.9,0.27,4245.62,2064.92,2180.7,CUST9838,ORD91476
2023-11-11,Electronics,Tablet,South,David Brown,19,403.76,0.28,5554.26,2623.12,2931.13,CUST2825,ORD78661
2023-02-19,Sports,Golf,South,Carol Davis,1,883.47,0.15,753.98,458.36,295.61,CUST2606,ORD57007
2024-01-10,Home,Furniture,West,Bob Smith,2,973.14,0.29,1377.07,556.29,820.78,CUST5566,ORD96875
2024-08-26,Sports,Soccer,North,Alice Johnson,16,461.75,0.01,7310.0,3507.3,3802.7,CUST3856,ORD55295
2023-08-17,Electronics,Laptop,East,Alice Johnson,14,729.17,0.19,8240.59,4811.94,3428.64,CUST6077,ORD95719
2023-03-26,Sports,Football,Central,Eve Wilson,16,519.3,0.21,6603.48,3077.05,3526.43,CUST2139,ORD19561
2024-08-07,Clothing,Shoes,South,Eve Wilson,16,983.04,0.17,13022.59,7266.39,5756.2,CUST1406,ORD46694
2024-08-30,Clothing,Jeans,East,Carol Davis,11,923.45,0.22,7970.87,4557.73,3413.14,CUST3364,ORD46056
2024-12-09,Home,Appliances,Central,Bob Smith,4,813.8,0.06,3075.52,1653.8,1421.72,CUST7609,ORD58778
2024-02-20,Electronics,Camera,South,Eve Wilson,4,73.18,0.24,222.75,154.39,68.36,CUST2342,ORD19111
2024-03-04,Books,Fiction,West,Alice Johnson,4,884.13,0.09,3225.84,1857.76,1368.08,CUST2335,ORD69516
2023-11-04,Electronics,Phone,North,Carol Davis,2,160.56,0.11,284.66,133.31,151.34,CUST6075,ORD41601
2024-12-20,Books,Non-Fiction,North,Eve Wilson,10,759.22,0.1,6829.44,3441.11,3388.33,CUST2354,ORD72360
2023-07-27,Home,Garden,East,Eve Wilson,16,807.44,0.01,12843.42,6705.57,6137.86,CUST8248,ORD61547
2023-08-29,Sports,Tennis,Central,David Brown,2,124.01,0.13,216.88,140.49,76.39,CUST2944,ORD38226
2023-07-06,Home,Appliances,East,Bob Smith,6,143.98,0.13,751.89,403.56,348.33,CUST3441,ORD50139
2024-11-20,Sports,Golf,West,Bob Smith,4,72.95,0.21,230.88,104.62,126.26,CUST2340,ORD50569
2024-05-16,Home,Furniture,West,Bob Smith,4,549.38,0.04,2099.63,906.04,1193.59,CUST4924,ORD95038
2024-06-04,Clothing,T-Shirt,East,Eve Wilson,1,105.12,0.13,90.97,48.22,42.76,CUST1500,ORD18464
2024-11-29,Electronics,Phone,South,Alice Johnson,11,124.35,0.16,1152.33,505.99,646.34,CUST6991,ORD74855
2024-10-03,Sports,Golf,South,David Brown,20,873.06,0.2,14004.49,8827.6,5176.89,CUST4566,ORD95753
2023-07-13,Home,Garden,North,Alice Johnson,20,239.63,0.13,4175.66,2142.09,2033.57,CUST5481,ORD65967
2024-04-02,Clothing,T-Shirt,West,Alice Johnson,20,923.31,0.24,14066.03,9557.41,4508.62,CUST8125,ORD13113
2023-10-07,Sports,Football,East,Bob Smith,4,253.8,0.15,867.13,563.99,303.14,CUST1738,ORD58312
2024-01-22,Books,Biography,South,Eve Wilson,2,281.69,0.14,486.2,254.44,231.76,CUST7166,ORD62045
2024-10-29,Electronics,Tablet,North,Eve Wilson,11,928.51,0.28,7334.25,4716.95,2617.3,CUST9943,ORD84090
2023-09-06,Clothing,T-Shirt,West,Carol Davis,8,804.51,0.24,4918.54,2153.9,2764.64,CUST8297,ORD63245
2024-08-17,Sports,Soccer,West,Carol Davis,19,170.91,0.28,2347.08,1251.56,1095.52,CUST7485,ORD51524
2023-11-16,Electronics,Headphones,East,Carol Davis,17,284.33,0.03,4668.42,3158.83,1509.59,CUST9949,ORD24138
2024-04-14,Home,Kitchen,South,David Brown,5,110.04,0.25,410.46,241.06,169.4,CUST6531,ORD56112
2023-12-27,Sports,Football,North,Eve Wilson,3,631.93,0.16,1596.85,1037.04,559.81,CUST7094,ORD19950
2023-11-17,Home,Garden,East,Bob Smith,6,75.91,0.2,364.84,174.7,190.13,CUST9304,ORD22855
2024-05-02,Books,Non-Fiction,Central,David Brown,3,634.55,0.12,1680.32,773.35,906.97,CUST2152,ORD88966
2023-12-18,Home,Appliances,South,Bob Smith,14,636.97,0.24,6807.09,4307.29,2499.8,CUST2541,ORD74243
2023-07-18,Clothing,Jacket,Central,David Brown,11,796.4,0.19,7099.44,4221.35,2878.09,CUST4850,ORD79268
2023-01-23,Sports,Tennis,South,David Brown,7,975.71,0.07,6337.85,3037.37,3300.48,CUST1689,ORD82620
2024-02-16,Sports,Football,West,Alice Johnson,1,653.26,0.07,608.21,376.01,232.21,CUST2691,ORD93321
2023-06-26,Sports,Basketball,North,Bob Smith,15,826.04,0.1,11128.04,7304.91,3823.12,CUST7338,ORD94566
2023-02-05,Sports,Football,West,Bob Smith,3,979.45,0.26,2173.98,912.44,1261.54,CUST9917,ORD93402
2024-03-07,Electronics,Phone,Central,David Brown,15,569.71,0.25,6396.63,4061.65,2334.98,CUST8035,ORD88933
2023-03-09,Sports,Football,East,Carol Davis,11,632.67,0.1,6297.13,2957.5,3339.62,CUST6701,ORD16111
2023-04-23,Electronics,Phone,Central,Bob Smith,6,340.98,0.22,1592.55,764.23,828.32,CUST3912,ORD96212
2023-02-27,Home,Decor,West,Eve Wilson,10,993.7,0.08,9177.37,3998.53,5178.84,CUST1802,ORD19754
2024-01-18,Books,History,East,Bob Smith,13,737.57,0.17,7951.42,3530.2,4421.22,CUST3003,ORD42217
